"Cobbled Wings	Ixalan	XLN	435389	Artifact - Equipment	*	*	2	2	A	233	C	Equipped creature has flying.Equip 1  (1 : Attach to target creature you control. Equip only as a sorcery.)	card"
"Colossal Dreadmaw	Ixalan	XLN	435335	Creature - Dinosaur	6	6	4 G G 	6	G	180	C	Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.)	card"
"Commune with Dinosaurs	Ixalan	XLN	435336	Sorcery	*	*	G 	1	G	181	C	Look at the top five cards of your library. You may reveal a Dinosaur or land card from among them and put it into your hand. Put the rest on the bottom of your library in any order.	card"
"Conqueror's Foothold	Ixalan	XLN	435391	Land	*	*	*	4	L	234	R	(Transforms from Conqueror's Galleon.)T : Add C .2 	card"
"Conqueror's Galleon	Ixalan	XLN	435390	Artifact - Vehicle	2	10	4	4	A	234	R	When Conqueror's Galleon attacks	card"
"Contract Killing	Ixalan	XLN	435249	Sorcery	*	*	3 B B 	5	B	95	C	Destroy target creature. Create two colorless Treasure artifact tokens with T Sacrifice this artifact: Add one mana of any color. 	card"
"Costly Plunder	Ixalan	XLN	435250	Instant	*	*	1 B 	2	B	96	C	As an additional cost to cast this spell sacrifice an artifact or creature.Draw two cards.	card"
"Crash the Ramparts	Ixalan	XLN	435337	Instant	*	*	2 G 	3	G	182	C	Target creature gets +3/+3 and gains trample until end of turn.	card"
"Crushing Canopy	Ixalan	XLN	435338	Instant	*	*	2 G 	3	G	183	C	Choose one -• Destroy target creature with flying.• Destroy target enchantment.	card"
"Daring Saboteur	Ixalan	XLN	435201	Creature - Human Pirate	2	1	1 U 	2	U	49	R	2 U : Daring Saboteur can't be blocked this turn.Whenever Daring Saboteur deals combat damage to a player you may draw a card. If you do discard a card.	card"
"Dark Nourishment	Ixalan	XLN	435251	Instant	*	*	4 B 	5	B	97	U	Dark Nourishment deals 3 damage to any target. You gain 3 life.	card"
"Deadeye Plunderers	Ixalan	XLN	435376	Creature - Human Pirate	3	3	3 U B 	5	UB	220	U	Deadeye Plunderers gets +1/+1 for each artifact you control.2 U B : Create a colorless Treasure artifact token with T: Sacrifice this artifact: Add one mana of any color.	card"
"Deadeye Quartermaster	Ixalan	XLN	435202	Creature - Human Pirate	2	2	3 U 	4	U	50	U	When Deadeye Quartermaster enters the battlefield you may search your library for an Equipment or Vehicle card reveal it put it into your hand then shuffle your library.	card"
"Deadeye Tormentor	Ixalan	XLN	435252	Creature - Human Pirate	2	2	2 B 	3	B	98	C	Raid - When Deadeye Tormentor enters the battlefield if you attacked with a creature this turn target opponent discards a card.	card"
"Deadeye Tracker	Ixalan	XLN	435253	Creature - Human Pirate	1	1	B 	1	B	99	R	1 B  T : Exile two target cards from an opponent's graveyard. Deadeye Tracker explores. (Reveal the top card of your library. Put that card into your hand if it's a land. Otherwise put a +1/+1 counter on this creature then put the card back or put it into your graveyard.)	card"
"Deathgorge Scavenger	Ixalan	XLN	435339	Creature - Dinosaur	3	2	2 G 	3	G	184	R	Whenever Deathgorge Scavenger enters the battlefield or attacks you may exile target card from a graveyard. If a creature card is exiled this way you gain 2 life. If a noncreature card is exiled this way Deathgorge Scavenger gets +1/+1 until end of turn.	card"
"Deathless Ancient	Ixalan	XLN	435254	Creature - Vampire Knight	4	4	4 B B 	6	B	100	U	Flying Tap three untapped Vampires you control: Return Deathless Ancient from your graveyard to your hand.	card"
"Deeproot Champion	Ixalan	XLN	435340	Creature - Merfolk Shaman	1	1	1 G 	2	G	185	R	Whenever you cast a noncreature spell put a +1/+1 counter on Deeproot Champion.	card"
"Deeproot Warrior	Ixalan	XLN	435341	Creature - Merfolk Warrior	2	2	1 G 	2	G	186	C	Whenever Deeproot Warrior becomes blocked it gets +1/+1 until end of turn.	card"
"Deeproot Waters	Ixalan	XLN	435203	Enchantment	*	*	2 U 	3	U	51	U	Whenever you cast a Merfolk spell create a 1/1 blue Merfolk creature token with hexproof. (A creature with hexproof can't be the target of spells or abilities your opponents control.)	card"
"Demolish	Ixalan	XLN	435293	Sorcery	*	*	3 R 	4	R	139	C	Destroy target artifact or land.	card"
"Demystify	Ixalan	XLN	435159	Instant	*	*	W 	1	W	8	C	Destroy target enchantment.	card"
"Depths of Desire	Ixalan	XLN	435204	Instant	*	*	2 U 	3	U	52	C	Return target creature to its owner's hand. Create a colorless Treasure artifact token with T: Sacrifice this artifact: Add one mana of any color.	card"
"Desperate Castaways	Ixalan	XLN	435255	Creature - Human Pirate	2	3	1 B 	2	B	101	C	Desperate Castaways can't attack unless you control an artifact.	card"
"Dinosaur Stampede	Ixalan	XLN	435294	Instant	*	*	2 R 	3	R	140	U	Attacking creatures get +2/+0 until end of turn. Dinosaurs you control gain trample until end of turn.	card"
"Dire Fleet Captain	Ixalan	XLN	435377	Creature - Orc Pirate	2	2	B R 	2	RB	221	U	Whenever Dire Fleet Captain attacks it gets +1/+1 until end of turn for each other attacking Pirate.	card"
"Dire Fleet Hoarder	Ixalan	XLN	435256	Creature - Human Pirate	2	1	1 B 	2	B	102	C	When Dire Fleet Hoarder dies create a colorless Treasure artifact token with T: Sacrifice this artifact: Add one mana of any color.	card"
"Dire Fleet Interloper	Ixalan	XLN	435257	Creature - Human Pirate	2	2	3 B 	4	B	103	C	Menace When Dire Fleet Interloper enters the battlefield it explores. (Reveal the top card of your library. Put that card into your hand if it's a land. Otherwise put a +1/+1 counter on this creature then put the card back or put it into your graveyard.)	card"
"Dire Fleet Ravager	Ixalan	XLN	435258	Creature - Orc Pirate Wizard	4	4	3 B B 	5	B	104	M	Menace deathtouch When Dire Fleet Ravager enters the battlefield each player loses a third of their life rounded up.	card"
"Dive Down	Ixalan	XLN	435205	Instant	*	*	U 	1	U	53	C	Target creature you control gets +0/+3 and gains hexproof until end of turn. (It can't be the target of spells or abilities your opponents control.)	card"
"Dowsing Dagger	Ixalan	XLN	435392	Artifact - Equipment	*	*	2	2	A	235	R	When Dowsing Dagger enters the battlefield target opponent creates two 0/2 green Plant creature tokens with defender.Equipped creature gets +2/+1.Whenever equipped creature deals combat damage to a player you may transform Dowsing Dagger.Equip 2 	card"
"Dragonskull Summit	Ixalan	XLN	435413	Land	*	*	*	0	G	187	U	Drover of the Mighty gets +2/+2 as long as you control a Dinosaur.T : Add one mana of any color.	card"
"Drowned Catacomb	Ixalan	XLN	435414	Land	*	*	*	0	L	253	R	Drowned Catacomb enters the battlefield tapped unless you control an Island or a Swamp.T : Add U  or B .	card"
"Dual Shot	Ixalan	XLN	435295	Instant	*	*	R 	1	R	141	C	Dual Shot deals 1 damage to each of up to two target creatures.	card"
"Duress	Ixalan	XLN	435259	Sorcery	*	*	B 	1	B	105	C	Target opponent reveals their hand. You choose a noncreature nonland card from it. That player discards that card.	card"
"Dusk Legion Dreadnought	Ixalan	XLN	435394	Artifact - Vehicle	4	6	5	5	A	236	U	VigilanceCrew 2 (Tap any number of creatures you control with total power 2 or more: This Vehicle becomes an artifact creature until end of turn.)	card"
"Duskborne Skymarcher	Ixalan	XLN	435160	Creature - Vampire Cleric	1	1	W 	1	W	9	U	Flying W T : Target attacking Vampire gets +1/+1 until end of turn.	card"
"Elaborate Firecannon	Ixalan	XLN	435395	Artifact	*	*	2	2	A	237	U	Elaborate Firecannon doesn't untap during your untap step. 4 T : Elaborate Firecannon deals 2 damage to any target. At the beginning of your upkeep you may discard a card. If you do untap Elaborate Firecannon.	card"
"Emergent Growth	Ixalan	XLN	435343	Sorcery	*	*	3 G 	4	G	188	U	Target creature gets +5/+5 until end of turn and must be blocked this turn if able.	card"
"Emissary of Sunrise	Ixalan	XLN	435161	Creature - Human Cleric	2	1	2 W 	3	W	10	U	First strike When Emissary of Sunrise enters the battlefield it explores. (Reveal the top card of your library. Put that card into your hand if it's a land. Otherwise put a +1/+1 counter on this creature then put the card back or put it into your graveyard.)	card"
"Emperor's Vanguard	Ixalan	XLN	435344	Creature - Human Scout	4	3	3 G 	4	G	189	R	Whenever Emperor's Vanguard deals combat damage to a player it explores. (Reveal the top card of your library. Put that card into your hand if it's a land. Otherwise put a +1/+1 counter on this creature then put the card back or put it into your graveyard.)	card"
"Encampment Keeper	Ixalan	XLN	435162	Creature - Hound	1	1	W 	1	W	11	C	First strike 7 W T: Sacrifice Encampment Keeper: Creatures you control get +2/+2 until end of turn.	card"
"Entrancing Melody	Ixalan	XLN	435207	Sorcery	*	*	X U U 	2	U	55	R	Gain control of target creature with converted mana cost X.	card"
"Fathom Fleet Captain	Ixalan	XLN	435260	Creature - Human Pirate	2	1	1 B 	2	B	106	R	Menace Whenever Fathom Fleet Captain attacks if you control another nontoken Pirate you may pay 2 . If you do create a 2/2 black Pirate creature token with menace.	card"
"Fathom Fleet Cutthroat	Ixalan	XLN	435261	Creature - Human Pirate	3	3	3 B 	4	B	107	C	When Fathom Fleet Cutthroat enters the battlefield destroy target creature an opponent controls that was dealt damage this turn.	card"
"Fathom Fleet Firebrand	Ixalan	XLN	435296	Creature - Human Pirate	2	2	1 R 	2	R	142	C	1 R : Fathom Fleet Firebrand gets +1/+0 until end of turn.	card"
"Favorable Winds	Ixalan	XLN	435208	Enchantment	*	*	1 U 	2	U	56	U	Creatures you control with flying get +1/+1.	card"
"Fell Flagship	Ixalan	XLN	435396	Artifact - Vehicle	3	3	3	3	A	238	R	Pirates you control get +1/+0.Whenever Fell Flagship deals combat damage to a player that player discards a card.Crew 3 (Tap any number of creatures you control with total power 3 or more: This Vehicle becomes an artifact creature until end of turn.)	card"
"Field of Ruin	Ixalan	XLN	435415	Land	*	*	*	0	L	254	U	T : Add C 2 T: Sacrifice Field of Ruin: Destroy target nonbasic land an opponent controls. Each player searches their library for a basic land card puts it onto the battlefield then shuffles their library.	card"
"Fiery Cannonade	Ixalan	XLN	435297	Instant	*	*	2 R 	3	R	143	U	Fiery Cannonade deals 2 damage to each non-Pirate creature.	card"
"Fire Shrine Keeper	Ixalan	XLN	435298	Creature - Elemental	1	1	R 	1	R	144	C	Menace 7 R T: Sacrifice Fire Shrine Keeper: It deals 3 damage to each of up to two target creatures. 	card"
"Firecannon Blast	Ixalan	XLN	435299	Sorcery	*	*	1 R R 	3	R	145	C	Firecannon Blast deals 3 damage to target creature.Raid - Firecannon Blast deals 6 damage to that creature instead if you attacked with a creature this turn.	card"
"Fleet Swallower	Ixalan	XLN	435209	Creature - Fish	6	6	5 U U 	7	U	57	R	Whenever Fleet Swallower attacks target player puts the top half of their library rounded up into their graveyard.	card"
"Forest	Ixalan	XLN	435438	Basic Land - Forest	*	*	*	0	L	277	C	G 	card"
"Frenzied Raptor	Ixalan	XLN	435300	Creature - Dinosaur	4	2	2 R 	3	R	146	C	*	card"
"Gilded Sentinel	Ixalan	XLN	435397	Artifact Creature - Golem	3	3	4	4	A	239	C	*	card"
"Gishath, Sun's Avatar	Ixalan	XLN	435378	Legendary Creature - Dinosaur Avatar	7	6	5 R G W 	8	GWR	222	M	Vigilance Trample Haste Whenever Gishath Sun's Avatar deals combat damage to a player reveal that many cards from the top of your library. Put any number of Dinosaur creature cards from among them onto the battlefield and the rest on the bottom of your library in a random order.	card"
"Glacial Fortress	Ixalan	XLN	435416	Land	*	*	*	0	L	255	R	Glacial Fortress enters the battlefield tapped unless you control a Plains or an Island.T : Add W  or U .	card"
"Glorifier of Dusk	Ixalan	XLN	435163	Creature - Vampire Soldier	4	4	3 W W 	5	W	12	U	Pay 2 life: Glorifier of Dusk gains flying until end of turn.Pay 2 life: Glorifier of Dusk gains vigilance until end of turn.	card"
"Goring Ceratops	Ixalan	XLN	435164	Creature - Dinosaur	3	3	5 W W 	7	W	13	R	Double strikeWhenever Goring Ceratops attacks other creatures you control gain double strike until end of turn.	card"
"Grasping Current	Ixalan	XLN	435443	Sorcery	*	*	4 U 	5	U	282	R	Return up to two target creatures to their owner's hand.Search your library and/or graveyard for a card named Jace Ingenious Mind-Mage reveal it and put it into your hand. If you searched your library this way shuffle it.	card"
"Grazing Whiptail	Ixalan	XLN	435345	Creature - Dinosaur	3	4	2 G G 	4	G	190	C	Reach	card"
"Grim Captain's Call	Ixalan	XLN	435262	Sorcery	*	*	2 B 	3	B	108	U	Return a Pirate card from your graveyard to your hand then do the same for Vampire Dinosaur and Merfolk.	card"
"Growing Rites of Itlimoc	Ixalan	XLN	435346	Legendary Enchantment	*	*	2 G 	3	G	191	R	When Growing Rites of Itlimoc enters the battlefield look at the top four cards of your library. You may reveal a creature card from among them and put it into your hand. Put the rest on the bottom of your library in any order.At the beginning of your end step if you control four or more creatures transform Growing Rites of Itlimoc.	card"
"Headstrong Brute	Ixalan	XLN	435301	Creature - Orc Pirate	3	3	2 R 	3	R	147	C	Headstrong Brute can't block.Headstrong Brute has menace as long as you control another Pirate.	card"
"Headwater Sentries	Ixalan	XLN	435210	Creature - Merfolk Warrior	2	5	3 U 	4	U	58	C	*	card"
"Heartless Pillage	Ixalan	XLN	435263	Sorcery	*	*	2 B 	3	B	109	U	Target opponent discards two cards.Raid - If you attacked with a creature this turn create a colorless Treasure artifact token with T Sacrifice this artifact: Add one mana of any color. 	card"
"Herald of Secret Streams	Ixalan	XLN	435211	Creature - Merfolk Warrior	2	3	3 U 	4	U	59	R	Creatures you control with +1/+1 counters on them can't be blocked.	card"
"Hierophant's Chalice	Ixalan	XLN	435398	Artifact	*	*	3	3	A	240	C	When Hierophant's Chalice enters the battlefield target opponent loses 1 life and you gain 1 life.T : Add C .	card"
"Hijack	Ixalan	XLN	435302	Sorcery	*	*	1 R R 	3	R	148	C	Gain control of target artifact or creature until end of turn. Untap it. It gains haste until end of turn.	card"
"Hostage Taker	Ixalan	XLN	435379	Creature - Human Pirate	2	3	2 U B 	4	UB	223	R	When Hostage Taker enters the battlefield exile another target creature or artifact until Hostage Taker leaves the battlefield. You may cast that card for as long as it remains exiled and you may spend mana as though it were mana of any type to cast that spell.	card"
"Huatli, Dinosaur Knight	Ixalan	XLN	435446	Legendary Planeswalker - Huatli	*	*	4 R W 	6	WR	285	M	+2: Put two +1/+1 counters on up to one target Dinosaur you control. ?3: Target Dinosaur you control deals damage equal to its power to target creature you don't control.?7: Dinosaurs you control get +4/+4 until end of turn.	card"
"Huatli, Warrior Poet	Ixalan	XLN	435380	Legendary Planeswalker - Huatli	*	*	3 R W 	5	WR	224	M	+2: You gain life equal to the greatest power among creatures you control.0: Create a 3/3 green Dinosaur creature token with trample.?X: Huatli Warrior Poet deals X damage divided as you choose among any number of target creatures. Creatures dealt damage this way can't block this turn.	card"
"Huatli's Snubhorn	Ixalan	XLN	435447	Creature - Dinosaur	2	2	1 W 	2	W	286	C	Vigilance (Attacking doesn't cause this creature to tap.)	card"
"Huatli's Spurring	Ixalan	XLN	435448	Instant	*	*	R 	1	R	287	U	Target creature gets +2/+0 until end of turn. If you control a Huatli planeswalker that creature gets +4/+0 until end of turn instead.	card"
"Imperial Aerosaur	Ixalan	XLN	435165	Creature - Dinosaur	3	3	3 W 	4	W	14	U	FlyingWhen Imperial Aerosaur enters the battlefield another target creature you control gets +1/+1 and gains flying until end of turn.	card"
"Imperial Lancer	Ixalan	XLN	435166	Creature - Human Knight	1	1	W 	1	W	15	U	Imperial Lancer has double strike as long as you control a Dinosaur.	card"
"Inspiring Cleric	Ixalan	XLN	435167	Creature - Vampire Cleric	3	2	2 W 	3	W	16	U	When Inspiring Cleric enters the battlefield you gain 4 life.	card"
"Island	Ixalan	XLN	435426	Basic Land - Island	*	*	*	0	L	265	C	U 	card"
"Itlimoc, Cradle of the Sun	Ixalan	XLN	435347	Legendary Land	*	*	*	3	L	191	R	(Transforms from Growing Rites of Itlimoc.)T : Add G .T : Add G  for each creature you control.	card"
"Ixalan's Binding	Ixalan	XLN	435168	Enchantment	*	*	3 W 	4	W	17	U	When Ixalan's Binding enters the battlefield exile target nonland permanent an opponent controls until Ixalan's Binding leaves the battlefield.Your opponents can't cast spells with the same name as the exiled card.	card"
"Ixalli's Diviner	Ixalan	XLN	435348	Creature - Human Druid	0	3	1 G 	2	G	192	C	When Ixalli's Diviner enters the battlefield it explores. (Reveal the top card of your library. Put that card into your hand if it's a land. Otherwise put a +1/+1 counter on this creature then put the card back or put it into your graveyard.)	card"
"Ixalli's Keeper	Ixalan	XLN	435349	Creature - Human Shaman	2	2	1 G 	2	G	193	C	7 G Sacrifice Ixalli's Keeper: Target creature gets +5/+5 and gains trample until end of turn. 	card"
"Jace, Cunning Castaway	Ixalan	XLN	435212	Legendary Planeswalker - Jace	*	*	1 U U 	3	U	60	M	1: Whenever one or more creatures you control deal combat damage to a player this turn draw a card then discard a card.?2: Create a 2/2 blue Illusion creature token with When this creature becomes the target of a spell sacrifice it.?5: Create two tokens that are copies of Jace Cunning Castaway except they're not legendary.	card"
"Jace, Ingenious Mind-Mage	Ixalan	XLN	435441	Legendary Planeswalker - Jace	*	*	4 U U 	6	U	280	M	1: Draw a card.+1: Untap all creatures you control.?9: Gain control of up to three target creatures.	card"
"Jace's Sentinel	Ixalan	XLN	435444	Creature - Merfolk Warrior	1	3	1 U 	2	U	283	U	As long as you control a Jace planeswalker Jace's Sentinel gets +1/+0 and can't be blocked.	card"
"Jade Guardian	Ixalan	XLN	435350	Creature - Merfolk Shaman	2	2	3 G 	4	G	194	C	Hexproof (This creature can't be the target of spells or abilities your opponents control.)When Jade Guardian enters the battlefield put a +1/+1 counter on target Merfolk you control.	card"
"Jungle Delver	Ixalan	XLN	435351	Creature - Merfolk Warrior	1	1	G 	1	G	195	C	3 G : Put a +1/+1 counter on Jungle Delver.	card"
"Kinjalli's Caller	Ixalan	XLN	435169	Creature - Human Cleric	0	3	W 	1	W	18	C	Dinosaur spells you cast cost 1  less to cast.	card"
"Kinjalli's Sunwing	Ixalan	XLN	435170	Creature - Dinosaur	2	3	2 W 	3	W	19	R	Flying Creatures your opponents control enter the battlefield tapped.	card"
"Kitesail Freebooter	Ixalan	XLN	435264	Creature - Human Pirate	1	2	1 B 	2	B	110	U	Flying When Kitesail Freebooter enters the battlefield target opponent reveals their hand. You choose a noncreature nonland card from it. Exile that card until Kitesail Freebooter leaves the battlefield.	card"
"Kopala, Warden of Waves	Ixalan	XLN	435213	Legendary Creature - Merfolk Wizard	2	2	1 U U 	3	U	61	R	Spells your opponents cast that target a Merfolk you control cost 2  more to cast.Abilities your opponents activate that target a Merfolk you control cost 2  more to activate.	card"
"Kumena's Speaker	Ixalan	XLN	435352	Creature - Merfolk Shaman	1	1	G 	1	G	196	U	Kumena's Speaker gets +1/+1 as long as you control another Merfolk or an Island.	card"
"Legion Conquistador	Ixalan	XLN	435171	Creature - Vampire Soldier	2	2	2 W 	3	W	20	C	When Legion Conquistador enters the battlefield you may search your library for any number of cards named Legion Conquistador reveal them put them into your hand then shuffle your library.	card"
"Legion's Judgment	Ixalan	XLN	435172	Sorcery	*	*	2 W 	3	W	21	C	Destroy target creature with power 4 or greater.	card"
"Legion's Landing	Ixalan	XLN	435173	Legendary Enchantment	*	*	W 	1	W	22	R	When Legion's Landing enters the battlefield create a 1/1 white Vampire creature token with lifelink.When you attack with three or more creatures transform Legion's Landing.	card"
"Lightning Strike	Ixalan	XLN	435303	Instant	*	*	1 R 	2	R	149	U	Lightning Strike deals 3 damage to any target.	card"
"Lightning-Rig Crew	Ixalan	XLN	435304	Creature - Goblin Pirate	0	5	2 R 	3	R	150	U	T : Lightning-Rig Crew deals 1 damage to each opponent.Whenever you cast a Pirate spell untap Lightning-Rig Crew.	card"
"Lookout's Dispersal	Ixalan	XLN	435214	Instant	*	*	2 U 	3	U	62	U	This spell costs 1  less to cast if you control a Pirate.Counter target spell unless its controller pays 4 .	card"
"Looming Altisaur	Ixalan	XLN	435175	Creature - Dinosaur	1	7	3 W 	4	W	23	C	*	card"
"Lost Vale	Ixalan	XLN	435393	Land	*	*	*	2	L	235	R	(Transforms from Dowsing Dagger.)T : Add three mana of any one color.	card"
"Lurking Chupacabra	Ixalan	XLN	435265	Creature - Beast Horror	2	3	3 B 	4	B	111	U	Whenever a creature you control explores target creature an opponent controls gets -2/-2 until end of turn.	card"
"Makeshift Munitions	Ixalan	XLN	435305	Enchantment	*	*	1 R 	2	R	151	U	1 Sacrifice an artifact or creature: Makeshift Munitions deals 1 damage to any target.	card"
"Marauding Looter	Ixalan	XLN	435381	Creature - Human Pirate	4	3	2 U R 	4	UR	225	U	Raid - At the beginning of your end step if you attacked with a creature this turn you may draw a card. If you do discard a card.	card"
"March of the Drowned	Ixalan	XLN	435266	Sorcery	*	*	B 	1	B	112	C	Choose one - Return target creature card from your graveyard to your hand. Return two target Pirate cards from your graveyard to your hand.	card"
"Mark of the Vampire	Ixalan	XLN	435267	Enchantment - Aura	*	*	3 B 	4	B	113	C	Enchant creatureEnchanted creature gets +2/+2 and has lifelink.	card"
"Mavren Fein, Dusk Apostle	Ixalan	XLN	435176	Legendary Creature - Vampire Cleric	2	2	2 W 	3	W	24	R	Whenever one or more nontoken Vampires you control attack create a 1/1 white Vampire creature token with lifelink.	card"
